Layer,Metric,Actual,GLM,FFNN,Notes,FFNN/GLM
Incidence,Observed rate,0.010666666666666666,0.012385181046172885,0.011224807240068913,Calibration-in-the-large,0.9063094998952367
Incidence,AUC (ROC),,0.6065114841878182,0.6380116570385034,Ranking quality,1.0519366469917173
Incidence,PR-AUC,,0.01657954379758609,0.01916682117295141,Rare-event ranking,1.1560523864198253
Incidence,Brier (↓),,0.010627457798710362,0.010538877062423438,Probability accuracy,0.991664917615794
Incidence,Lift@10,,0.21354166666666666,0.2578125,Share of claims in top 10% risk,1.2073170731707317
Claim cost,Mean cost (CHF),106135.33072916667,106932.36396796588,102292.37046594113,Level check (claims),0.956608146216474
Claim cost,MAE (CHF) (↓),,47339.38274148474,36533.514515740106,Overall error on claims,0.771736182434944
Claim cost,RMSE log1p (↓),,0.5587038579219081,0.429772405042176,Multiplicative error,0.7692311390880833
Claim cost,Tail MAE P90+ (↓),,89129.6459532761,106198.62541439374,Large-loss focus,1.1915073181157436
Aggregate,Pure premium (CHF/exp-month),1132.1101944444445,1310.6177357747772,1155.2548091413662,p×mu over exposure,0.8814582449232861
Aggregate,O/E (Actual ÷ Expected),1.0,0.8637989274387415,0.9799657923829602,Ideal ≈ 1,1.1344836874116828
Diagnostics,PP (FFNN incidence × GLM severity),1132.1101944444445,1310.6177357747772,1177.7785701895382,Isolate frequency,0.8986438517050049
Diagnostics,PP (GLM incidence × FFNN severity),1132.1101944444445,1310.6177357747772,1273.797628422832,Isolate severity,0.9719062955224097
