Layer,Metric,Actual,GLM,FFNN,Notes,FFNN/GLM
Incidence,Observed rate,0.010666666666666666,0.012385181046172885,0.011462790991106886,Calibration-in-the-large,0.925524701526182
Incidence,AUC (ROC),,0.6065114841878182,0.6309616669240417,Ranking quality,1.040312810843087
Incidence,PR-AUC,,0.01657954379758609,0.0201901880207438,Rare-event ranking,1.2177770551010823
Incidence,Brier (↓),,0.010627457798710362,0.010532312426132916,Probability accuracy,0.9910472123832859
Incidence,Lift@10,,0.21354166666666666,0.23697916666666666,Claims captured in top 10%,1.1097560975609757
Claim cost,Mean cost (CHF),106135.33072916667,106932.36396796588,100852.61497880047,Level check (claims),0.9431439765889142
Claim cost,MAE (CHF) (↓),,47339.38274148474,36468.374272394816,Overall error,0.7703601559729807
Claim cost,RMSE log1p (↓),,0.5587038579219081,0.4339553044550525,Multiplicative error,0.7767179307999478
Claim cost,Tail MAE P90+ (↓),,89129.6459532761,110137.62369695619,Large-loss focus,1.2357013485130748
Aggregate,Pure premium (CHF/exp-month),1132.1101944444445,1310.6177357747772,1166.781423249542,p×mu over exposure,0.8902530397696734
Aggregate,O/E (Actual ÷ Expected),1.0,0.8637989274387415,0.9702847267583875,Ideal ≈ 1,1.123276142094073
Diagnostics,PP (FFNN incidence × GLM severity),1132.1101944444445,1310.6177357747772,1196.5981285471034,Isolate frequency,0.9130031555995459
Diagnostics,PP (GLM incidence × FFNN severity),1132.1101944444445,1310.6177357747772,1265.792243066038,Isolate severity,0.965798194633586
