Layer,Metric,Actual,GLM,FFNN,Hybrid A,Hybrid B,Notes,FFNN/GLM,HybridA/GLM,HybridB/GLM
Incidence,Observed rate,0.010666666666666666,0.012385181046172835,0.011431269045963612,0.011431269045963612,0.012385181046172835,Calibration-in-the-large,0.9229795675450386,0.9229795675450386,1.0
Incidence,AUC (ROC),,0.6065114841878182,0.6246889565083108,0.6246889565083108,0.6065114841878182,Ranking quality,1.0299705327836193,1.0299705327836193,1.0
Incidence,PR-AUC,,0.01657954379758609,0.018605025848774263,0.018605025848774263,0.01657954379758609,Rare-event ranking,1.1221675382577823,1.1221675382577823,1.0
Incidence,Brier (↓),,0.010627457798710362,0.010542034733807206,0.010542034733807206,0.010627457798710362,Probability accuracy,0.9919620414852627,0.9919620414852627,1.0
Incidence,Lift@10,,0.21354166666666666,0.24739583333333334,0.24739583333333334,0.21354166666666666,Claims captured in top 10%,1.1585365853658538,1.1585365853658538,1.0
Claim cost,Mean cost (CHF),106135.33072916667,106932.36396796588,103041.75016669992,106932.36396796588,103041.75016669992,Level check (claims),0.9636161246521073,1.0,0.9636161246521073
Claim cost,MAE (CHF) (↓),,47339.38274148474,36608.375286593546,47339.38274148474,36608.375286593546,Overall error,0.7733175459111483,1.0,0.7733175459111483
Claim cost,RMSE log1p (↓),,0.5587038579219081,0.43131354786031884,0.5587038579219081,0.43131354786031884,Multiplicative error,0.7719895643187146,1.0,0.7719895643187146
Claim cost,Tail MAE P90+ (↓),,89129.6459532761,108032.19820774585,89129.6459532761,108032.19820774585,Large-loss focus,1.2120792924991415,1.0,1.2120792924991415
Aggregate,Pure premium (CHF/exp-month),1132.1101944444445,1310.6177357747772,1181.9189065862856,1200.2274820726125,1280.652693690169,p×mu over exposure,0.9018029241665872,0.9157723486498471,0.9771367033524124
Aggregate,O/E (Actual ÷ Expected),1.0,0.8637989274387415,0.9578577583755701,0.9432463523410248,0.8840103175688461,Ideal ≈ 1,1.1088897287887625,1.0919744426377718,1.0233982579603722
